medal,beer,brewery,city,state,style,year,coords,lat,lng,comp
Gold,"Samuel Adams Boston Stock Ale","Boston Beer Co.",Boston,MA,Alts,1989,"-71.0846 42.3188",42.3188,-71.0846,GABF
Silver,"Sun Valley White Cloud Ale","Sun Valley Brewing Co.",Hailey,ID,Alts,1989,"-114.3 43.5141",43.5141,-114.3,GABF
Gold,"Full Sail Amber Ale","Full Sail Brewing Co.","Hood River",OR,"Amber Ales",1989,"-121.5258 45.7092",45.7092,-121.5258,GABF
Silver,"1989 Autumn Ale","Alaskan Brewing and Bottling Co.",Juneau,AK,"Amber Ales",1989,"-134.1739 58.4546",58.4546,-134.1739,GABF
Bronze,"Hope Red Rooster Ale","Hope Brewing Co.",Providence,RI,"Amber Ales",1989,"-71.4187 41.823",41.823,-71.4187,GABF
Gold,"Hudepohl 14-K","Hudepohl-Schoenling Brewing Co.",Cleveland,OH,"American Light Pilsners",1989,"-81.6805 41.4767",41.4767,-81.6805,GABF
Silver,"Michelob Light","Anheuser-Busch, Inc","Saint Louis",MO,"American Light Pilsners",1989,,,,GABF
Bronze,"Boston Lightship","Boston Beer Co.",Boston,MA,"American Light Pilsners",1989,"-71.0846 42.3188",42.3188,-71.0846,GABF
Gold,Busch,"Anheuser-Busch, Inc","Saint Louis",MO,"American Pilsners",1989,,,,GABF
Silver,"Miller High Life","Miller Brewing Co.",Milwaukee,WI,"American Pilsners",1989,"-87.9673 43.0642",43.0642,-87.9673,GABF
Bronze,Budweiser,"Anheuser-Busch, Inc","Saint Louis",MO,"American Pilsners",1989,,,,GABF
Gold,"Lowenbrau Dark Special","Miller Brewing Co.",Milwaukee,WI,"American Premium Dark Pilsners",1989,"-87.9673 43.0642",43.0642,-87.9673,GABF
Silver,"Michelob Classic Dark","Anheuser-Busch, Inc","Saint Louis",MO,"American Premium Dark Pilsners",1989,,,,GABF
Bronze,"Berghoff Dark","Berghoff-Huber Brewing Co.",Monroe,WI,"American Premium Dark Pilsners",1989,"-89.6381 42.603",42.603,-89.6381,GABF
Gold,"Coors Extra Gold","Coors Brewing Co.",Golden,CO,"American Premium Pilsners",1989,"-105.2118 39.7406",39.7406,-105.2118,GABF
Silver,Coors,"Coors Brewing Co.",Golden,CO,"American Premium Pilsners",1989,"-105.2118 39.7406",39.7406,-105.2118,GABF
Gold,"Old Foghorn Barley Wine","Anchor Brewing Co.","San Francisco",CA,"Barley Wines",1989,"-122.443 37.7562",37.7562,-122.443,GABF
Silver,"Old Dipsea Barley Wine","Marin Brewing Co.",Larkspur,CA,"Barley Wines",1989,"-122.5313 37.9394",37.9394,-122.5313,GABF
Gold,"Catamount Gold","Catamount Brewing Co.",Windsor,VT,"Blond/Golden Ales",1989,,,,GABF
Silver,"Oldenberg Blonde","Oldenberg Brewery/Drawbridge","Fort Mitchell",KY,"Blond/Golden Ales",1989,"-84.5563 39.0459",39.0459,-84.5563,GABF
Bronze,"Summit Sparkling Ale","Summit Brewing Co.","Saint Paul",MN,"Blond/Golden Ales",1989,,,,GABF
Gold,"Kessler Grand Teton Dopplebock","Kessler Brewing Co.",Helena,MT,"Bock Beers",1989,"-112.0199 46.5965",46.5965,-112.0199,GABF
Silver,"Old German-Style Bock","Frankenmuth Brewery Inc",Frankenmuth,MI,"Bock Beers",1989,"-83.7395 43.3321",43.3321,-83.7395,GABF
Bronze,"Dark Horse","Virginia Brewing Co.",Birmingham,AL,"Bock Beers",1989,"-86.7987 33.5277",33.5277,-86.7987,GABF
Gold,"Full Sail Brown Ale","Full Sail Brewing Co.","Hood River",OR,"Brown Ales",1989,"-121.5258 45.7092",45.7092,-121.5258,GABF
Silver,"Old Brown Dog Ale","The Northampton Brewery",Northamapton,MA,"Brown Ales",1989,,,,GABF
"First Place","Samuel Adams Boston Lager","Boston Beer Co.",Boston,MA,"Consumer Preference Poll",1989,"-71.0846 42.3188",42.3188,-71.0846,GABF
Gold,"Little Kings Cream Ale","Hudepohl-Schoenling Brewing Co.",Cleveland,OH,"Cream Ales",1989,"-81.6805 41.4767",41.4767,-81.6805,GABF
Silver,"Sun Valley Cream Ale","Sun Valley Brewing Co.",Hailey,ID,"Cream Ales",1989,"-114.3 43.5141",43.5141,-114.3,GABF
Gold,"Bud Dry","Anheuser-Busch, Inc","Saint Louis",MO,"Dry Beers",1989,,,,GABF
Silver,"Diamond Head Dry","Honolulu Brewing Co.",Honolulu,HI,"Dry Beers",1989,"-157.846 21.3294",21.3294,-157.846,GABF
Bronze,"Esquire Extra Dry Beer","Jones Brewing Co.",Smithton,PA,"Dry Beers",1989,"-79.7424 40.1538",40.1538,-79.7424,GABF
Gold,Schildbrau,"Millstream Brewing Co.",Amana,IA,"European Ambers",1989,"-91.8741 41.8025",41.8025,-91.8741,GABF
Silver,"Erin Brew","Cleveland Brewing Co.",Cleveland,OH,"European Ambers",1989,"-81.6805 41.4767",41.4767,-81.6805,GABF
Bronze,"Wild Boar Special Amber","Wild Boar Brewing Co.",Atlanta,GA,"European Ambers",1989,"-84.4225 33.7627",33.7627,-84.4225,GABF
Gold,"Manhattan Gold Lager","Mammoth Brewing","New York",NY,"European Pilsner",1989,"-73.9249 40.6943",40.6943,-73.9249,GABF
Silver,"D'Agostino Fresh","Mammoth Brewing","New York",NY,"European Pilsner",1989,"-73.9249 40.6943",40.6943,-73.9249,GABF
Bronze,"Saranac 1888","F.X. Matt Brewing Co.",Utica,NY,"European Pilsner",1989,"-75.226 43.0961",43.0961,-75.226,GABF
Gold,"Oldenberg Cherry Lager","Oldenberg Brewery/Drawbridge","Fort Mitchell",KY,"Fruit Beer",1989,"-84.5563 39.0459",39.0459,-84.5563,GABF
Gold,"Christmas Ale","Anchor Brewing Co.","San Francisco",CA,"Fruit Beer",1989,"-122.443 37.7562",37.7562,-122.443,GABF
Silver,"Tri-City Winter Warmer","Tri-City Brewing Co.","Bay City",MI,"Fruit Beer",1989,"-83.8886 43.5903",43.5903,-83.8886,GABF
Gold,"Rubicon India Pale Ale","Rubicon Brewing Co.",Sacramento,CA,"India Pale Ales",1989,"-121.4683 38.5667",38.5667,-121.4683,GABF
Silver,"Liberty Ale","Anchor Brewing Co.","San Francisco",CA,"India Pale Ales",1989,"-122.443 37.7562",37.7562,-122.443,GABF
Gold,"St. Ides Premium Malt Liquor","McKenzie River Partners","San Francisco",CA,"Malt Liquor",1989,"-122.443 37.7562",37.7562,-122.443,GABF
Silver,"Midnight Dragon Malt","Hudepohl-Schoenling Brewing Co.",Cleveland,OH,"Malt Liquor",1989,"-81.6805 41.4767",41.4767,-81.6805,GABF
Bronze,"King Cobra","Anheuser-Busch, Inc","Saint Louis",MO,"Malt Liquor",1989,,,,GABF
Gold,"Old German Dark","Frankenmuth Brewery Inc",Frankenmuth,MI,Muenchers,1989,"-83.7395 43.3321",43.3321,-83.7395,GABF
Silver,"Helenbock Beer","Friends Brewing Co.",Kennesaw,GA,Muenchers,1989,"-84.6177 34.0262",34.0262,-84.6177,GABF
Gold,"Sierra Nevada Pale Ale","Sierra Nevada Brewing Co.",Chico,CA,"Pale Ales",1989,"-121.8152 39.7575",39.7575,-121.8152,GABF
Silver,"Post Road Real Ale","Old Marlborough Brewing Co.",Framingham,MA,"Pale Ales",1989,"-71.4368 42.3085",42.3085,-71.4368,GABF
Bronze,"Mount Tamalpais Ale","Marin Brewing Co.",Larkspur,CA,"Pale Ales",1989,"-122.5313 37.9394",37.9394,-122.5313,GABF
Gold,"Tower Dark","Butterfield Brewing Co.",Fresno,CA,Porters,1989,"-119.7941 36.7831",36.7831,-119.7941,GABF
Silver,"George Washington Porter","Boston Beer Co.",Boston,MA,Porters,1989,"-71.0846 42.3188",42.3188,-71.0846,GABF
Bronze,"Anchor Porter","Anchor Brewing Co.","San Francisco",CA,Porters,1989,"-122.443 37.7562",37.7562,-122.443,GABF
Gold,"Sun Valley Our Holiday Ale","Sun Valley Brewing Co.",Hailey,ID,"Scottish Ales",1989,"-114.3 43.5141",43.5141,-114.3,GABF
Silver,"Blue Whale Ale","Pacific Coast Brewing Co.",Oakland,CA,"Scottish Ales",1989,"-122.2165 37.7903",37.7903,-122.2165,GABF
Gold,"San Quentin Breakout Stout","Marin Brewing Co.",Larkspur,CA,Stouts,1989,"-122.5313 37.9394",37.9394,-122.5313,GABF
Silver,"Sierra Nevada Stout","Sierra Nevada Brewing Co.",Chico,CA,Stouts,1989,"-121.8152 39.7575",39.7575,-121.8152,GABF
Bronze,"Rubicon Stout","Rubicon Brewing Co.",Sacramento,CA,Stouts,1989,"-121.4683 38.5667",38.5667,-121.4683,GABF
Gold,"Market Street Oktoberfest","Bohannon Brewing Co.",Nashville,TN,"Vienna/Marzen/Octoberfest Beer",1989,"-86.7843 36.1715",36.1715,-86.7843,GABF
Silver,"Gartenbrau Octoberfest","Capital Brewery Co. Inc",Middleton,WI,"Vienna/Marzen/Octoberfest Beer",1989,"-89.5058 43.1064",43.1064,-89.5058,GABF
Bronze,"Newman's Albany Amber","William S Newman Brewing Co.",Albany,NY,"Vienna/Marzen/Octoberfest Beer",1989,"-73.7987 42.6664",42.6664,-73.7987,GABF
Gold,"Stoudt's Weizen","Stoudt's Brewing Co.",Adamstown,PA,"Wheat Beers",1989,"-76.0608 40.2417",40.2417,-76.0608,GABF
Silver,"Chicago Vice Weizen","Goose Island Beer Co.",Chicago,IL,"Wheat Beers",1989,"-87.6862 41.8373",41.8373,-87.6862,GABF
Bronze,"Marin Weiss","Marin Brewing Co.",Larkspur,CA,"Wheat Beers",1989,"-122.5313 37.9394",37.9394,-122.5313,GABF
Gold,"Quadtum Leap","Revelry Brewing Co.",Charleston,SC,"Aged Beer",2018,"-79.963 32.8151",32.8151,-79.963,GABF
Silver,"Lock, Stock and Brandy Barrel","Maize Valley Craft Brewery",Hartville,OH,"Aged Beer",2018,"-81.3349 40.9618",40.9618,-81.3349,GABF
Bronze,Solzhenitsyn,"Iron Hill Brewery & Restaurant - Media",Media,PA,"Aged Beer",2018,"-75.3888 39.9198",39.9198,-75.3888,GABF
Gold,"Whitewall Wheat","Crank Arm Brewing Co.",Raleigh,NC,"American-Belgo-Style Ale",2018,"-78.6438 35.8324",35.8324,-78.6438,GABF
Silver,"#4.5 Dry Hopped Saison","Brown Truck Brewery","High Point",NC,"American-Belgo-Style Ale",2018,"-79.9937 35.9905",35.9905,-79.9937,GABF
Bronze,Mischief,"The Bruery",Placentia,CA,"American-Belgo-Style Ale",2018,"-117.8553 33.8807",33.8807,-117.8553,GABF
Gold,"Pecos Amber Lager","Texas Beer Co.",Taylor,TX,"American-Style Amber Lager",2018,"-97.4233 30.5743",30.5743,-97.4233,GABF
Silver,Märzen,"Sudwerk Brewing Co.",Davis,CA,"American-Style Amber Lager",2018,"-121.7365 38.5552",38.5552,-121.7365,GABF
Bronze,Oktoberfest,"Lager Heads Brewing Co.",Medina,OH,"American-Style Amber Lager",2018,"-81.8694 41.1358",41.1358,-81.8694,GABF
Gold,"West Coast Swing Amber","The Mitten Brewing Co.","Grand Rapids",MI,"American-Style Amber/Red Ale",2018,"-85.6557 42.9615",42.9615,-85.6557,GABF
Silver,"Sepia Amber","Hopping Gnome Brewing Co.",Wichita,KS,"American-Style Amber/Red Ale",2018,"-97.3441 37.6897",37.6897,-97.3441,GABF
Bronze,"Avalon Amber Ale","Slack Tide Brewing Co.","Cape May Court House",NJ,"American-Style Amber/Red Ale",2018,"-74.8209 39.079",39.079,-74.8209,GABF
Gold,"Alpha Force Double Tap",Uberbrew,Billings,MT,"American-Style Black Ale",2018,"-108.5509 45.7889",45.7889,-108.5509,GABF
Silver,"Black the Riipper","Riip Beer Co.","Huntington Beach",CA,"American-Style Black Ale",2018,"-118.0025 33.696",33.696,-118.0025,GABF
Bronze,"Midnight Moonlight","Fat Head's Brewery","Middleburg Heights",OH,"American-Style Black Ale",2018,"-81.8151 41.3695",41.3695,-81.8151,GABF
Gold,"Davy Brown Ale","Figueroa Mountain Brewing",Buellton,CA,"American-Style Brown Ale",2018,"-120.1943 34.6152",34.6152,-120.1943,GABF
Silver,"Groundswell Piloncillo Brown Ale","Groundswell Brewing Co.",Santee,CA,"American-Style Brown Ale",2018,"-116.9851 32.8554",32.8554,-116.9851,GABF
Bronze,"Wallops Island","Rocket Frog Brewing Co.",Sterling,VA,"American-Style Brown Ale",2018,"-77.405 39.0052",39.0052,-77.405,GABF
Gold,"Gateway Cream Ale","Lockport Brewery",Bolivar,OH,"American-Style Cream Ale",2018,"-81.4555 40.6505",40.6505,-81.4555,GABF
Silver,"Dayblazer Easygoing Ale","New Belgium Brewing Co. - Ft. Collins","Fort Collins",CO,"American-Style Cream Ale",2018,"-105.0651 40.5475",40.5475,-105.0651,GABF
Bronze,"El Sully","21st Amendment Brewery","San Leandro",CA,"American-Style Cream Ale",2018,"-122.1601 37.7071",37.7071,-122.1601,GABF
Gold,"Raspberry Twist Lager","Garage Brewing Co.",Temecula,CA,"American-Style Fruit Beer",2018,"-117.1315 33.4928",33.4928,-117.1315,GABF
Silver,"Cherry Blonde","Ignite Brewing Co.",Barberton,OH,"American-Style Fruit Beer",2018,"-81.6037 41.0094",41.0094,-81.6037,GABF
Bronze,"Tropic Maelstrom","Peter B's Brewpub",Monterey,CA,"American-Style Fruit Beer",2018,"-121.8807 36.5922",36.5922,-121.8807,GABF
Gold,Bine,"Root Down Brewing Co.",Phoenixville,PA,"American-Style India Pale Ale",2018,"-75.5201 40.1358",40.1358,-75.5201,GABF
Silver,"Not an IPA (P.S. it's an IPA)","Appalachian Mountain Brewery - Portsmouth",Portsmouth,NH,"American-Style India Pale Ale",2018,"-70.7826 43.058",43.058,-70.7826,GABF
Bronze,"West Coast IPA is Dead!","Green Cheek Beer Co.",Orange,CA,"American-Style India Pale Ale",2018,"-117.8218 33.8038",33.8038,-117.8218,GABF
Gold,Lager,"Appalachian Mountain Brewery - Boone",Boone,NC,"American-Style Lager or American-Style Malt Liquor",2018,"-81.6668 36.2111",36.2111,-81.6668,GABF
Silver,"American Lager","Castle Island Brewing Co.",Norwood,MA,"American-Style Lager or American-Style Malt Liquor",2018,,,,GABF
Bronze,Lumino,"Unsung Brewing Co.",Tustin,CA,"American-Style Lager or American-Style Malt Liquor",2018,"-117.8106 33.7309",33.7309,-117.8106,GABF
Gold,"B.Right On Pale Ale","Ocean Beach Brewery","San Diego",CA,"American-Style Pale Ale",2018,"-117.1225 32.8312",32.8312,-117.1225,GABF
Silver,Neighborhood,"Ventura Coast Brewing Co.",Ventura,CA,"American-Style Pale Ale",2018,,,,GABF
Bronze,Charlatan,"Maplewood Brewing Co.",Chicago,IL,"American-Style Pale Ale",2018,"-87.6862 41.8373",41.8373,-87.6862,GABF
Gold,"Rocket 100","The Austin Beer Garden Brewing Co.",Austin,TX,"American-Style Pilsener",2018,"-97.7517 30.3006",30.3006,-97.7517,GABF
Silver,"NZ Pils","Wolverine State Brewing Co.","Ann Arbor",MI,"American-Style Pilsener",2018,"-83.7312 42.2755",42.2755,-83.7312,GABF
Bronze,"Howdy Beer","The Post Brewing Co.",Lafayette,CO,"American-Style Pilsener",2018,"-105.0997 39.9949",39.9949,-105.0997,GABF
Gold,"Kveik 1","Shades of Pale Brewery","Park City",UT,"American-Style Sour Ale",2018,"-111.502 40.6505",40.6505,-111.502,GABF
Silver,Brevity,"Brewery Silvaticus",Amesbury,MA,"American-Style Sour Ale",2018,,,,GABF
Bronze,"Wicked Shifty","Shoe Tree Brewing Co.","Carson City",NV,"American-Style Sour Ale",2018,"-119.7474 39.1511",39.1511,-119.7474,GABF
Gold,"Hooligan Stout","Old Schoolhouse Brewery",Winthrop,WA,"American-Style Stout",2018,"-120.179 48.4716",48.4716,-120.179,GABF
Silver,P2P,"10 Barrel Brewing Co.",Bend,OR,"American-Style Stout",2018,"-121.3087 44.0562",44.0562,-121.3087,GABF
Bronze,"Black Cliffs","Boise Brewing",Boise,ID,"American-Style Stout",2018,"-116.2312 43.6007",43.6007,-116.2312,GABF
Gold,"Green Battles IPA","Pinthouse Pizza North",Austin,TX,"American-Style Strong Pale Ale",2018,"-97.7517 30.3006",30.3006,-97.7517,GABF
Silver,"Easy Runaway","Old Schoolhouse Brewery",Winthrop,WA,"American-Style Strong Pale Ale",2018,"-120.179 48.4716",48.4716,-120.179,GABF
Bronze,"Lucky Day","Central Coast Brewing Co. - Higuera St.","San Luis Obispo",CA,"American-Style Strong Pale Ale",2018,"-120.6689 35.267",35.267,-120.6689,GABF
Gold,"Sweet As Pacific Ale","GoodLife Brewing Co.",Bend,OR,"American-Style Wheat Beer",2018,"-121.3087 44.0562",44.0562,-121.3087,GABF
Silver,"Goofy Footed","Escape Brewing Co.",Trinity,FL,"American-Style Wheat Beer",2018,"-82.6581 28.1809",28.1809,-82.6581,GABF
Bronze,"Easy, Breezy, Beautiful","Cloudburst Brewing",Seattle,WA,"American-Style Wheat Beer",2018,"-122.3244 47.6211",47.6211,-122.3244,GABF
Gold,"Miner's Gold","Lewis & Clark Brewing Co.",Helena,MT,"American-Style Wheat Beer with Yeast",2018,"-112.0199 46.5965",46.5965,-112.0199,GABF
Silver,Fuzztail,"Sunriver Brewing",Sunriver,OR,"American-Style Wheat Beer with Yeast",2018,"-121.4368 43.8816",43.8816,-121.4368,GABF
Bronze,Hefeweizen,"Widmer Brothers Brewing",Portland,OR,"American-Style Wheat Beer with Yeast",2018,"-122.65 45.5371",45.5371,-122.65,GABF
Gold,"Sunshine Express","Butcherknife Brewing Co.","Steamboat Springs",CO,"Australian-Style Pale Ale",2018,"-106.8233 40.4774",40.4774,-106.8233,GABF
Silver,"Strata IPA","Worthy Brewing Co.",Bend,OR,"Australian-Style Pale Ale",2018,"-121.3087 44.0562",44.0562,-121.3087,GABF
Bronze,"Flavor Country","Austin Beerworks",Austin,TX,"Australian-Style Pale Ale",2018,"-97.7517 30.3006",30.3006,-97.7517,GABF
Gold,"Odin's Sword","Big Island Brewhaus",Kamuela,HI,"Baltic-Style Porter",2018,,,,GABF
Silver,"Death and the Maiden","Cambridge Brewing Co.",Cambridge,MA,"Baltic-Style Porter",2018,"-71.1185 42.3759",42.3759,-71.1185,GABF
Bronze,"Bangor Slate Baltic Porter","Two Rivers Brewing Co.",Easton,PA,"Baltic-Style Porter",2018,"-75.2209 40.6858",40.6858,-75.2209,GABF
Gold,"Chicago Overcoat","Midnight Pig Beer",Plainfield,IL,"Barley Wine-Style Ale",2018,"-88.226 41.6205",41.6205,-88.226,GABF
Silver,"Barnacled Manatee","Walking Tree Brewery","Vero Beach",FL,"Barley Wine-Style Ale",2018,"-80.393 27.6463",27.6463,-80.393,GABF
Bronze,"Bear Temper","Trustworthy Brewing Co.",Burbank,CA,"Barley Wine-Style Ale",2018,"-118.3235 34.1879",34.1879,-118.3235,GABF
Gold,"5 Branches Biere de Garde","Munkle Brewing Co.",Charleston,SC,"Belgian- and French-Style Ale",2018,"-79.963 32.8151",32.8151,-79.963,GABF
Silver,"Biere de Garde","Blackberry Farm Brewery",Walland,TN,"Belgian- and French-Style Ale",2018,"-83.8069 35.732",35.732,-83.8069,GABF
Bronze,"Abby Blonde","Thirsty Monk Pub Brewery",Denver,CO,"Belgian- and French-Style Ale",2018,"-104.8759 39.7621",39.7621,-104.8759,GABF
Gold,"Jean-Claude Van Blond","Wit's End Brewing Co.",Denver,CO,"Belgian-Style Blonde Ale or Pale Ale",2018,"-104.8759 39.7621",39.7621,-104.8759,GABF
Silver,Singel,"Hardywood West Creek",Richmond,VA,"Belgian-Style Blonde Ale or Pale Ale",2018,"-77.4756 37.5295",37.5295,-77.4756,GABF
Bronze,"Blonde Betty","Smuggler's Brewpub",Telluride,CO,"Belgian-Style Blonde Ale or Pale Ale",2018,"-107.8264 37.9365",37.9365,-107.8264,GABF
Gold,"BJ's Quad","BJ's Restaurant & Brewery - Boulder",Boulder,CO,"Belgian-Style Dubbel or Quadrupel",2018,"-105.2523 40.0249",40.0249,-105.2523,GABF
Silver,"Kung Fu Smurf","Bastone Brewery","Royal Oak",MI,"Belgian-Style Dubbel or Quadrupel",2018,"-83.1539 42.5084",42.5084,-83.1539,GABF
Bronze,Deduction,"Taxman Brewing Co.",Bargersville,IN,"Belgian-Style Dubbel or Quadrupel",2018,"-86.2004 39.5412",39.5412,-86.2004,GABF
Gold,"Foxy Lady","Silver City Brewery",Bremerton,WA,"Belgian-Style Fruit Beer",2018,"-122.7121 47.5436",47.5436,-122.7121,GABF
Silver,"Blood-Orange Wit","Great Basin Brewing Co. - Sparks",Sparks,NV,"Belgian-Style Fruit Beer",2018,"-119.7157 39.5729",39.5729,-119.7157,GABF
Bronze,"Kumquat Saison","Smog City Brewing Wood Cellar",Torrance,CA,"Belgian-Style Fruit Beer",2018,"-118.3417 33.8346",33.8346,-118.3417,GABF
Gold,"Funk Yeah","Beachwood Blendery","Long Beach",CA,"Belgian-Style Lambic or Sour Ale",2018,"-118.1675 33.798",33.798,-118.1675,GABF
Silver,Triad,"IMBIB Custom Brews",Reno,NV,"Belgian-Style Lambic or Sour Ale",2018,"-119.8483 39.5497",39.5497,-119.8483,GABF
Bronze,"I Am Only Memories","Orpheus Brewing",Atlanta,GA,"Belgian-Style Lambic or Sour Ale",2018,"-84.4225 33.7627",33.7627,-84.4225,GABF
Gold,Midwatch,"Figurehead Brewing Co.",Seattle,WA,"Belgian-Style Strong Specialty Ale",2018,"-122.3244 47.6211",47.6211,-122.3244,GABF
Silver,Qualified,"Taxman Brewing Co.",Bargersville,IN,"Belgian-Style Strong Specialty Ale",2018,"-86.2004 39.5412",39.5412,-86.2004,GABF
Bronze,"Sol Hominis (The Sun Of Man)","Save the World Brewing Co.","Marble Falls",TX,"Belgian-Style Strong Specialty Ale",2018,"-98.2751 30.5677",30.5677,-98.2751,GABF
Gold,"Tripel Carmel-ite","Flix Brewhouse - Carmel",Carmel,IN,"Belgian-Style Tripel",2018,"-86.1461 39.9658",39.9658,-86.1461,GABF
Silver,"Belgian Tripel","Village Idiot Brewing Co.","Mount Holly",NJ,"Belgian-Style Tripel",2018,,,,GABF
Bronze,"Neighbor Girl","Paradigm Shift Brewing",Massillon,OH,"Belgian-Style Tripel",2018,"-81.5256 40.7839",40.7839,-81.5256,GABF
Gold,"Biére Blanche","Pedal Haus Brewery",Tempe,AZ,"Belgian-Style Witbier",2018,"-111.9318 33.3881",33.3881,-111.9318,GABF
Silver,"Optimal Wit","Port City Brewing Co.",Alexandria,VA,"Belgian-Style Witbier",2018,"-77.0861 38.8185",38.8185,-77.0861,GABF
Bronze,"Allagash White","Allagash Brewing Co.",Portland,ME,"Belgian-Style Witbier",2018,"-70.2715 43.6773",43.6773,-70.2715,GABF
Gold,Baywindow,"10 Barrel Brewing Co.",Bend,OR,"Berliner-Style Weisse",2018,"-121.3087 44.0562",44.0562,-121.3087,GABF
Silver,Germophile,"Rowley Farmhouse Ales","Santa Fe",NM,"Berliner-Style Weisse",2018,"-105.9819 35.6619",35.6619,-105.9819,GABF
Bronze,"Nevada Weisse","IMBIB Custom Brews",Reno,NV,"Berliner-Style Weisse",2018,"-119.8483 39.5497",39.5497,-119.8483,GABF
Gold,"Guten Bock","Gilded Goat Brewing Co.","Fort Collins",CO,Bock,2018,"-105.0651 40.5475",40.5475,-105.0651,GABF
Silver,"New Kids on Maibock","Independent Brewing Co.","Bel Air",MD,Bock,2018,"-76.346 39.5348",39.5348,-76.346,GABF
Bronze,"Blind Tiger Bock","Blind Tiger Brewery & Restaurant",Topeka,KS,Bock,2018,"-95.6955 39.0346",39.0346,-95.6955,GABF
Gold,"Bohemian Pilsner","Gordon Biersch Brewery Restaurant - Tysons Corner",Broomfield,CO,"Bohemian-Style Pilsener",2018,"-105.0527 39.9541",39.9541,-105.0527,GABF
Silver,"Pompey's Pilsner","Lewis & Clark Brewing Co.",Helena,MT,"Bohemian-Style Pilsener",2018,"-112.0199 46.5965",46.5965,-112.0199,GABF
Bronze,"Bird Park","North Park Beer Co.","San Diego",CA,"Bohemian-Style Pilsener",2018,"-117.1225 32.8312",32.8312,-117.1225,GABF
Gold,"C'mon Sunshine","Birds Fly South Ale Project",Greenville,SC,"Brett Beer",2018,"-82.3649 34.8362",34.8362,-82.3649,GABF
Silver,"Terroir Pinot Gris","Alesong Brewing & Blending",Eugene,OR,"Brett Beer",2018,"-123.1173 44.0563",44.0563,-123.1173,GABF
Bronze,"Touch of Brett Mandarina","Alesong Brewing & Blending",Eugene,OR,"Brett Beer",2018,"-123.1173 44.0563",44.0563,-123.1173,GABF
Gold,"Maduro Brown Ale","Cigar City Brewing",Tampa,FL,"Brown Porter",2018,"-82.4451 27.9942",27.9942,-82.4451,GABF
Silver,"Brown Claw","Kern River Brewing Co.",Kernville,CA,"Brown Porter",2018,"-118.4321 35.7531",35.7531,-118.4321,GABF
Bronze,"Knee-Knocker Porter","Crow Hop Brewing Co.",Loveland,CO,"Brown Porter",2018,"-105.0622 40.4167",40.4167,-105.0622,GABF
Gold,"White Legs Jalapeno Wheat","Tribute Brewing Co.","Eagle River",WI,"Chili Beer",2018,"-89.256 45.925",45.925,-89.256,GABF
Silver,Chamuco,"Künstler Brewing","San Antonio",TX,"Chili Beer",2018,"-98.5254 29.4658",29.4658,-98.5254,GABF
Bronze,"San Antonio Hatch Lager","Ranger Creek Brewery","San Antonio",TX,"Chili Beer",2018,"-98.5254 29.4658",29.4658,-98.5254,GABF
Gold,"Coco for Coxness","Copperpoint Brewing Co.","Boynton Beach",FL,"Chocolate Beer",2018,"-80.0811 26.5281",26.5281,-80.0811,GABF
Silver,"Genesee Brew House Pilot Batch Dark<br />Chocolate Scotch Ale","Genesee Brew House",Rochester,NY,"Chocolate Beer",2018,"-77.6162 43.168",43.168,-77.6162,GABF
Bronze,"Chocolate Macadamia Nut Stout","Kilowatt Brewing","San Diego",CA,"Chocolate Beer",2018,"-117.1225 32.8312",32.8312,-117.1225,GABF
Gold,"Pale Ale","Omission Brewing Co.",Portland,OR,"Classic English-Style Pale Ale",2018,"-122.65 45.5371",45.5371,-122.65,GABF
Silver,"MacTarnahan’s Amber Ale","Portland Brewing Co.",Portland,OR,"Classic English-Style Pale Ale",2018,"-122.65 45.5371",45.5371,-122.65,GABF
Bronze,"Prickly Pear","Lewis & Clark Brewing Co.",Helena,MT,"Classic English-Style Pale Ale",2018,"-112.0199 46.5965",46.5965,-112.0199,GABF
Gold,"Shooter McMunn's","Lost Rhino Brewing Co.",Ashburn,VA,"Classic Irish-Style Dry Stout",2018,"-77.4711 39.03",39.03,-77.4711,GABF
Silver,"It's My Island","Pocock Brewing Co.","Santa Clarita",CA,"Classic Irish-Style Dry Stout",2018,"-118.4992 34.4155",34.4155,-118.4992,GABF
Bronze,"Know Ego","Groundswell Brewing Co.",Santee,CA,"Classic Irish-Style Dry Stout",2018,"-116.9851 32.8554",32.8554,-116.9851,GABF
Gold,Saison,"Bent Paddle Brewing Co.",Duluth,MN,"Classic Saison",2018,"-92.1392 46.7757",46.7757,-92.1392,GABF
Silver,"One Arm Farmhouse Ale","Hobbs Tavern & Brewing Co.","West Ossipee",NH,"Classic Saison",2018,,,,GABF
Bronze,Hayshaker,"Gunwhale Ales","Costa Mesa",CA,"Classic Saison",2018,"-117.9135 33.6667",33.6667,-117.9135,GABF
Gold,"Coffee Cream Ale","Kiitos Brewing","Salt Lake City",UT,"Coffee Beer",2018,"-111.93 40.7774",40.7774,-111.93,GABF
Silver,"Mystery Airship 4.0: Temple Cascara Golden Ale","New Helvetia Brewing Co.",Sacramento,CA,"Coffee Beer",2018,"-121.4683 38.5667",38.5667,-121.4683,GABF
Bronze,"First Call","Modist Brewing Co.",Minneapolis,MN,"Coffee Beer",2018,"-93.2678 44.9635",44.9635,-93.2678,GABF
