medal,beer,brewery,city,state,style,year,coords,lat,lng,comp
Bronze,"Gold Leaf Lager","Devils Backbone Brewing Co. - Outpost",Lexington,VA,"American-Style or International-Style Pilsener",2012,"-79.444 37.7825",37.7825,-79.444,GABF
Gold,"Brickstone APA","Brickstone Brewery",Bourbonnais,IL,"American-Style Pale Ale",2012,"-87.8781 41.1831",41.1831,-87.8781,GABF
Silver,"The Weight","Piece Brewery",Chicago,IL,"American-Style Pale Ale",2012,"-87.6862 41.8373",41.8373,-87.6862,GABF
Bronze,"Zombie Dust","Three Floyds Brewing Co.",Munster,IN,"American-Style Pale Ale",2012,"-87.504 41.5469",41.5469,-87.504,GABF
Gold,"Barrel Select - Gold","Captain Lawrence Brewing Co.",Elmsford,NY,"American-Style Sour Ale",2012,"-73.8143 41.0541",41.0541,-73.8143,GABF
Silver,"Red Poppy","The Lost Abbey","San Marcos",CA,"American-Style Sour Ale",2012,"-117.1743 33.135",33.135,-117.1743,GABF
Bronze,"Fitger's Framboise","Fitger's Brewhouse",Duluth,MN,"American-Style Sour Ale",2012,"-92.1392 46.7757",46.7757,-92.1392,GABF
Gold,"Henry Weinhard's Blue Boar Pale Ale","Blitz-Weinhard Brewing","Hood River",OR,"American-Style Specialty Lager or Cream Ale or Lager",2012,"-121.5258 45.7092",45.7092,-121.5258,GABF
Silver,"Old Style","Pabst Brewing Co.","Los Angeles",CA,"American-Style Specialty Lager or Cream Ale or Lager",2012,"-118.4068 34.1139",34.1139,-118.4068,GABF
Bronze,"Mickey's Malt Liquor","Miller Brewing Co.",Milwaukee,WI,"American-Style Specialty Lager or Cream Ale or Lager",2012,"-87.9673 43.0642",43.0642,-87.9673,GABF
Gold,"Order in the Port","Pizza Port San Clemente","San Clemente",CA,"American-Style Stout",2012,"-117.6103 33.4498",33.4498,-117.6103,GABF
Silver,"American Stout","10 Barrel Brewing Co.",Bend,OR,"American-Style Stout",2012,"-121.3087 44.0562",44.0562,-121.3087,GABF
Bronze,Ironman,"Free State Brewing Co.",Lawrence,KS,"American-Style Stout",2012,"-95.2641 38.9598",38.9598,-95.2641,GABF
Gold,Melvin,"Thai Me Up Brewery",Jackson,WY,"American-Style Strong Pale Ale",2012,"-110.7745 43.4721",43.4721,-110.7745,GABF
Silver,"Lumberyard IPA","Lumberyard Brewing Co.",Flagstaff,AZ,"American-Style Strong Pale Ale",2012,"-111.6195 35.1872",35.1872,-111.6195,GABF
Bronze,"Laughing Dog IPA","Laughing Dog Brewing",Ponderay,ID,"American-Style Strong Pale Ale",2012,"-116.539 48.3091",48.3091,-116.539,GABF
Gold,"Wagon Box Wheat","Black Tooth Brewing Co.",Sheridan,WY,"American-Style Wheat Beer",2012,"-106.9643 44.7962",44.7962,-106.9643,GABF
Silver,"Shredders Wheat","Barley Brown's Brew Pub","Baker City",OR,"American-Style Wheat Beer",2012,"-117.832 44.7749",44.7749,-117.832,GABF
Bronze,"American Wheat","Gella's Diner and Lb. Brewing Co.",Hays,KS,"American-Style Wheat Beer",2012,"-99.3219 38.8816",38.8816,-99.3219,GABF
Gold,"MBC Wheat Ale","Montana Brewing Co.",Billings,MT,"American-Style Wheat Beer with Yeast",2012,"-108.5509 45.7889",45.7889,-108.5509,GABF
Silver,Tumblewheat,"Altitude Chophouse and Brewery",Laramie,WY,"American-Style Wheat Beer with Yeast",2012,"-105.6085 41.3099",41.3099,-105.6085,GABF
Bronze,"Wrangler Wheat","Figueroa Mountain Brewing Co.",Buellton,CA,"American-Style Wheat Beer with Yeast",2012,"-120.1943 34.6152",34.6152,-120.1943,GABF
Gold,"The Hammer","Rock Bottom King of Prussia","King of Prussia",PA,"Baltic-Style Porter",2012,"-75.3821 40.0962",40.0962,-75.3821,GABF
Silver,Danzig,"Devils Backbone Brewing Co. - Basecamp",Roseland,VA,"Baltic-Style Porter",2012,,,,GABF
Bronze,"Polska Porter","American Brewing Co.",Edmonds,WA,"Baltic-Style Porter",2012,"-122.3533 47.8114",47.8114,-122.3533,GABF
Gold,"Johan the Barleywine","Sun King Brewing Co.",Indianapolis,IN,"Barley Wine-Style Ale",2012,"-86.1458 39.7771",39.7771,-86.1458,GABF
Silver,"Barley Wine","Charleville Vineyard & Microbrewery","Ste. Genevieve",MO,"Barley Wine-Style Ale",2012,"-90.0481 37.9747",37.9747,-90.0481,GABF
Bronze,"Dr. StrangeLove","Strange Brewing Co.",Denver,CO,"Barley Wine-Style Ale",2012,"-104.8759 39.7621",39.7621,-104.8759,GABF
Gold,"Saint's Devotion","The Lost Abbey","San Marcos",CA,"Belgian- and French-Style Ale",2012,"-117.1743 33.135",33.135,-117.1743,GABF
Silver,"Your Favorite Foreign Movie","DC Brau Brewing Co.",Washington,DC,"Belgian- and French-Style Ale",2012,"-77.0163 38.9047",38.9047,-77.0163,GABF
Bronze,"Domaine DuPage","Two Brothers Brewing Co.",Warrenville,IL,"Belgian- and French-Style Ale",2012,"-88.1857 41.821",41.821,-88.1857,GABF
Gold,"Green Flash Trippel","Green Flash Brewing Co.","San Diego",CA,"Belgian-Style Abbey Ale",2012,"-117.1225 32.8312",32.8312,-117.1225,GABF
Silver,Sanitarium,"Bier Brewery",Indianapolis,IN,"Belgian-Style Abbey Ale",2012,"-86.1458 39.7771",39.7771,-86.1458,GABF
Bronze,"ABT 12","Dock Street Brewery",Philadelphia,PA,"Belgian-Style Abbey Ale",2012,"-75.1339 40.0077",40.0077,-75.1339,GABF
Gold,"Sour Reserve","Upland Brewing Co.",Bloomington,IN,"Belgian-Style Lambic or Sour Ale",2012,"-86.5257 39.1637",39.1637,-86.5257,GABF
